Year,COA,NUC,GAS,PEA,HYD,WIN,CSP,SPV,DPV,BIO,DSR,PST,STO
2018,202281.5,13360.8,2231.7,362.1,13163.5,6516.9,1880.4,3292.9,1041.5,1907.5,0.0,1251.4,0.0
2019,202469.5,13360.8,2231.7,352.0,13171.1,6509.2,1892.1,3534.4,1041.5,1769.2,0.0,876.6,0.0
2020,197784.6,13397.4,2610.8,3646.8,13195.6,7832.4,2121.4,4070.5,1044.6,2170.5,0.0,4400.6,0.0
2021,197256.0,13360.8,2603.6,4589.1,13031.5,8615.0,2147.2,4216.9,1041.5,2180.2,0.0,3582.2,0.0
2022,191840.4,13360.8,2603.6,5965.6,13198.9,8621.7,2361.7,4216.9,1041.5,2189.1,0.0,983.2,0.0
2023,184041.7,13360.8,2242.1,557.7,13118.6,32411.1,1900.6,4216.9,1933.1,3802.9,0.0,2810.8,1.9
2024,187392.7,13397.4,2237.8,799.6,13196.1,32555.5,1904.4,4231.9,2833.3,3832.6,123.0,4089.0,766.4
2025,182955.9,12855.7,2231.7,1438.9,13154.6,36894.1,1898.4,9361.0,3716.5,3804.8,122.6,3650.5,806.2
2026,177998.6,12937.1,2231.7,1845.7,13166.0,47395.3,1895.4,9361.7,4608.2,3807.4,122.6,4477.9,915.5
2027,169108.6,12513.5,2231.7,1978.8,13150.7,61439.5,1892.8,9362.1,5499.8,3800.4,122.6,5099.0,903.3
2028,168764.7,13397.4,2237.8,2218.6,13164.3,65988.5,1904.2,9391.3,6410.6,3840.1,61.5,5383.9,903.0
2029,165914.1,13360.8,2231.7,2414.9,13159.9,70192.5,1898.2,11764.1,7283.2,3794.7,122.6,4915.2,2005.6
2030,120533.1,13360.8,2231.7,1085.4,12694.6,121572.2,1890.1,13991.3,8174.8,3784.3,66.5,3383.4,4017.8
2031,121102.6,13360.8,2231.7,925.3,13074.1,117252.2,1886.7,21054.2,8174.8,3782.6,122.6,3360.3,4133.3
2032,109807.4,12890.9,2237.8,1689.5,13203.3,117585.7,1897.1,36208.4,8199.3,3787.6,61.5,1987.2,5604.1
2033,111453.4,12937.1,2231.7,1353.2,12988.6,117246.9,1884.4,41376.5,8174.8,3787.7,0.0,4584.9,5903.5
2034,115961.6,12513.5,2231.7,1439.0,13111.6,112229.7,1891.2,45339.2,8174.8,3792.8,122.6,3682.9,6397.2
2035,105887.5,13360.8,2231.7,2494.9,13118.7,115909.8,1902.3,54305.2,8174.8,3787.7,61.3,3699.8,7500.0
2036,96767.4,13397.4,2237.8,2162.4,12954.3,128831.5,1900.6,56770.2,8199.3,3789.5,123.0,4536.6,8891.2
2037,84917.3,13360.8,2231.7,3175.6,12960.2,128500.2,1895.8,71438.6,8174.8,3782.8,61.3,3161.8,14242.0
2038,85191.1,13360.8,2231.7,2094.5,13008.6,131385.8,1894.4,74677.2,8174.8,3799.5,0.0,3947.5,16845.4
2039,66008.5,12601.2,2231.7,2464.0,11649.3,157987.7,1884.4,73788.7,7900.2,3767.3,0.0,5403.7,17324.5
2040,60429.9,12972.6,2237.8,1164.1,12383.8,157200.9,1889.9,84750.7,7709.2,3787.9,123.0,3731.7,18225.6
2041,49941.2,12076.1,2231.7,3107.4,11215.5,172416.1,1891.4,84570.4,7490.0,3741.6,122.6,5338.1,18843.4
2042,42590.1,12977.2,2231.7,1795.6,10153.9,187800.1,1899.0,83539.2,7133.4,3749.2,61.3,5779.8,23241.3
2043,44417.4,13083.5,2256.7,3648.9,11644.9,166090.0,1891.4,104330.4,7133.4,3794.6,61.3,4843.1,26954.0
2044,41424.2,12439.6,2237.8,2191.5,10110.1,176366.5,1902.2,104638.3,7154.7,3750.4,61.5,5187.1,27724.0
2045,48821.7,11735.2,2231.7,2278.5,12000.7,172855.4,1481.7,103862.0,7133.4,3736.7,0.0,6091.2,26727.0
2046,36726.8,5809.4,2231.7,3003.2,8853.9,198386.7,983.4,103431.0,7133.4,3770.5,61.3,6316.6,25970.5
2047,37061.6,0.0,2231.7,3688.1,9942.8,207568.0,11.0,103432.2,6241.7,3556.5,122.6,5833.6,26812.3
2048,43179.3,0.0,2237.8,1385.1,12750.8,205215.1,12.2,105749.3,5366.0,3630.0,33.3,4722.7,36165.8
2049,35452.2,0.0,2231.8,1436.2,9715.5,210840.6,0.0,114593.3,4458.4,3628.1,61.3,4194.5,35861.9
2050,32929.5,0.0,2254.9,1098.2,8407.2,226247.1,0.0,109487.0,3566.7,3287.0,61.3,5488.1,37186.0
