Year,COA,NUC,GAS,PEA,HYD,WIN,CSP,SPV,DPV,BIO,DSR,PST,STO
2018,202872.1,13360.8,2231.7,353.4,13170.8,6512.4,1880.4,3292.9,1041.5,1915.2,0.0,1325.1,0.0
2019,208471.8,13360.8,2231.7,348.4,13166.2,6509.2,1892.0,3530.6,1041.5,1783.2,0.0,880.8,0.0
2020,212423.2,13397.4,2237.8,800.8,13204.0,7830.1,1914.8,4072.7,1044.6,1944.7,0.0,1991.5,0.0
2021,216953.9,13360.8,2231.7,483.2,13168.1,8612.3,1916.7,4216.9,1041.5,1931.6,0.0,1189.8,0.0
2022,216254.8,13360.8,2231.7,328.4,13169.3,13550.7,1921.7,5999.9,1041.5,1930.0,0.0,1147.3,409.0
2023,213183.7,13360.8,2231.7,250.3,13175.3,18450.4,1900.3,7780.8,1933.1,1936.1,0.0,693.4,227.2
2024,214179.8,13397.4,2237.8,94.1,13205.3,23477.8,1891.8,7807.0,2833.3,1929.5,71.1,504.4,143.3
2025,210031.8,13360.8,2231.7,299.8,13174.0,28328.7,1900.8,9562.9,3716.5,1927.4,88.1,633.2,191.4
2026,208307.5,13360.8,2231.7,842.2,13160.7,33230.3,1927.4,9563.7,4608.2,1920.7,122.6,1175.7,335.1
2027,207627.0,13360.8,2231.7,434.3,13170.9,38143.9,1890.2,9564.1,5499.8,1927.0,97.7,1083.0,302.8
2028,203427.4,13397.4,2237.8,151.9,13197.9,43208.8,1891.6,11381.3,6410.6,1926.5,56.7,777.3,322.7
2029,200290.0,13360.8,2231.7,197.1,13167.0,48037.8,1887.0,13128.4,7283.2,1929.9,91.6,1093.2,1492.4
2030,180218.0,13360.8,2231.7,700.9,28492.0,54703.7,1898.2,14910.7,8174.8,1920.2,66.5,822.8,1597.7
2031,180071.6,13360.8,2231.7,569.0,28496.2,57882.2,1900.8,14909.4,8174.8,1920.2,122.4,916.7,1321.0
2032,176964.1,13397.4,2237.8,1519.2,28566.5,62970.5,1912.7,14956.8,8199.3,3787.3,61.5,2058.5,1563.6
2033,176988.4,13360.8,2231.7,1028.2,28494.6,67714.3,1894.1,14910.0,8174.8,3781.7,0.0,3370.4,1914.8
2034,181545.5,13360.8,2231.7,1234.3,28478.7,67621.8,1889.2,14914.4,8174.8,3805.2,122.6,4161.3,2521.9
2035,180264.3,13360.8,2794.9,2020.9,28497.4,71083.6,1900.5,14917.0,8174.8,3790.5,61.3,4028.3,2708.8
2036,179164.5,13397.4,3001.4,1685.8,28551.6,76210.6,1902.5,14957.6,8199.3,3804.5,123.0,4701.1,2376.6
2037,177964.5,13360.8,3125.8,2855.1,28471.0,80942.8,1894.0,14919.9,8174.8,3789.3,61.3,5933.4,2546.3
2038,175135.6,13360.8,4687.7,2342.7,28418.9,85864.8,1892.9,14916.5,8174.8,3784.2,0.0,4602.2,2604.9
2039,175120.7,13360.8,4563.6,2110.3,28451.5,90787.1,1885.6,13959.0,7900.2,3789.1,0.0,5319.2,728.1
2040,175418.2,13392.1,5089.1,1957.5,28501.8,94657.7,1885.6,14095.9,7709.2,3804.0,123.0,6778.6,1075.7
2041,173342.4,13360.8,6082.3,2636.8,28448.1,98534.4,1894.0,14063.8,7490.0,3782.5,122.6,6098.3,719.9
2042,177493.7,13360.8,6481.8,2644.4,28383.6,98534.4,1894.0,14868.4,7133.4,3797.3,61.3,7089.2,1185.8
2043,178272.0,13360.8,6506.4,2944.1,28449.1,98534.4,1892.9,16649.4,7133.4,3784.0,61.3,6824.7,1120.2
2044,179061.7,13396.9,6671.8,3417.5,28453.1,98792.2,1894.2,18485.7,7154.7,3795.6,61.5,5520.1,1237.7
2045,184113.4,12743.3,6890.0,2342.6,28392.5,98534.4,1486.6,19770.9,7133.4,3790.1,0.0,5929.2,880.7
2046,190687.3,6680.4,9121.1,2710.8,28427.2,98534.4,975.5,21077.1,7133.4,3789.4,61.3,5481.7,698.8
2047,202008.7,0.0,9979.5,2955.1,28323.4,98534.4,13.6,21077.4,6241.7,3659.7,122.6,6748.1,801.2
2048,202128.5,0.0,13510.7,1712.2,28280.0,98792.2,2406.1,21134.4,5366.0,3670.2,61.5,6588.3,688.0
2049,197823.1,0.0,13807.2,1953.5,28122.2,98534.4,8546.5,22856.9,4458.4,3662.7,61.3,4663.7,579.4
2050,200449.4,0.0,15015.1,1527.0,28498.0,98534.4,9812.1,22865.1,3566.7,3722.5,61.3,5662.7,305.0
