Year,COA,NUC,GAS,PEA,HYD,WIN,CSP,SPV,DPV,BIO,DSR,PST,STO
2018,37625.0,1860,424.6,3405.0,2192,2086,400.0,1479.0,584,282.0,0,2912,0.0
2019,38671.0,1860,424.6,3405.0,2192,2086,500.0,1594.0,584,282.0,0,2912,0.0
2020,37457.0,1860,424.6,3405.0,2192,2226,500.0,1669.0,584,307.0,0,2912,0.0
2021,38038.0,1860,424.6,3405.0,2192,2762,600.0,1894.0,584,307.0,0,2912,0.0
2022,38014.0,1860,424.6,3405.0,2192,4362,600.0,2894.0,584,307.0,0,2912,513.0
2023,38964.0,1860,424.6,3405.0,2192,5962,600.0,3894.0,1084,307.0,0,2912,513.0
2024,38758.0,1860,424.6,4461.0,2192,7562,600.0,3894.0,1584,307.0,1000,2912,513.0
2025,38438.0,1860,424.6,4461.0,2192,9162,600.0,4894.0,2084,307.0,1000,2912,513.0
2026,37112.0,1860,424.6,4119.0,2192,10762,600.0,4894.0,2584,307.0,1000,2912,513.0
2027,37326.0,1860,424.6,6231.0,2192,12362,600.0,4894.0,3084,307.0,1000,2912,513.0
2028,37326.0,1860,424.6,6231.0,2192,13962,600.0,5894.0,3584,307.0,500,2912,513.0
2029,35801.0,1860,424.6,6231.0,2192,15562,600.0,6894.0,4084,307.0,1000,2912,2088.0
2030,32941.0,1860,424.6,6231.0,4692,17162,600.0,7894.0,4584,307.0,1000,2912,2088.0
2031,31791.0,1860,424.6,6660.4,4692,18762,600.0,7894.0,4584,307.0,1000,2912,2088.6
2032,30066.0,1860,424.6,9275.7,4692,20362,600.0,7894.0,4584,556.3,500,2912,1576.1
2033,28916.0,1860,424.6,9887.0,4692,21962,600.0,7894.0,4584,557.0,0,2912,1576.1
2034,28341.0,1860,424.6,9931.1,4692,22526,600.0,7894.0,4584,557.0,1000,2912,1576.1
2035,28092.1,1860,745.1,10237.8,4692,23076,600.0,7894.0,4584,557.0,500,2912,2634.9
2036,27565.7,1860,745.1,10237.8,4692,24676,600.0,7894.0,4584,557.0,1000,2912,2634.9
2037,27047.3,1860,894.4,12027.9,4692,26276,600.0,7894.0,4584,557.0,500,2912,2635.6
2038,26931.0,1860,1722.2,12469.5,4692,27876,600.0,7894.0,4584,557.0,0,2912,2639.0
2039,26996.9,1860,1722.2,11146.5,4692,29476,600.0,7894.0,4430,557.0,0,2912,1317.9
2040,26381.9,1860,1722.2,11146.5,4692,30940,600.0,7673.4,4310,557.0,1000,2912,1738.5
2041,25605.2,1860,2499.6,11146.5,4692,32000,600.0,7673.4,4200,557.0,1000,2912,1737.9
2042,26164.4,1860,2712.0,12756.8,4692,32000,600.0,8238.4,4000,557.0,500,2912,1980.1
2043,26241.8,1860,2712.0,13621.1,4692,32000,600.0,9238.4,4000,557.0,500,2912,2329.3
2044,26430.8,1860,2712.0,14013.0,4692,32000,600.0,10238.4,4000,557.0,500,2912,2329.3
2045,26430.8,1860,2712.0,14013.0,4692,32000,500.0,11238.4,4000,557.0,0,2912,1278.8
2046,27351.5,930,4328.9,13292.9,4692,32000,400.0,11823.4,4000,557.0,500,2912,1278.8
2047,28150.9,0,4328.9,13292.9,4692,32000,200.0,11823.4,3500,539.0,1000,2912,1278.8
2048,28337.5,0,6319.1,13294.1,4692,32000,591.9,11823.4,3000,539.0,500,2912,1278.8
2049,27670.5,0,6319.1,13294.1,4692,32000,1744.4,12823.4,2500,539.0,500,2912,1024.9
2050,27003.5,0,6319.1,13294.1,4692,32000,2001.1,12823.4,2000,514.0,500,2912,604.2
