Year,COA,NUC,GAS,PEA,HYD,WIN,CSP,SPV,DPV,BIO,DSR,PST,STO
2018,37625,1860,424.6,3405.0,2192,2086.0,400,1479.0,584,282.0,0,2912,0.0
2019,38671,1860,424.6,3405.0,2192,2086.0,500,1594.0,584,282.0,0,2912,0.0
2020,37457,1860,424.6,3405.0,2192,2226.0,500,1669.0,584,307.0,0,2912,0.0
2021,38038,1860,424.6,3405.0,2192,2762.0,500,1894.0,584,307.0,0,2912,0.0
2022,38014,1860,424.6,3405.0,2192,2762.0,500,1894.0,584,307.0,0,2912,0.0
2023,38214,1860,424.6,4979.3,2192,10496.2,500,1894.0,1084,556.3,0,2912,1.6
2024,38008,1860,424.6,4979.3,2192,10496.2,500,1894.0,1584,556.3,1000,2912,1189.6
2025,37688,1860,424.6,6668.7,2192,11942.8,500,4780.7,2084,557.0,1000,2912,1463.0
2026,36362,1860,424.6,7286.0,2192,15362.7,500,4780.7,2584,557.0,1000,2912,1614.7
2027,35826,1860,424.6,7286.0,2192,19932.9,500,4780.7,3084,557.0,1000,2912,1614.7
2028,35826,1860,424.6,7286.0,2192,21337.8,500,4780.7,3584,557.0,500,2912,1614.7
2029,34301,1860,424.6,7712.7,2192,22757.4,500,6128.6,4084,557.0,1000,2912,2381.5
2030,31441,1860,424.6,7712.7,2192,38047.3,500,7378.2,4584,557.0,1000,2912,5507.4
2031,30291,1860,424.6,7712.7,2192,38047.3,500,11342.1,4584,557.0,1000,2912,5507.4
2032,28566,1860,424.6,7712.7,2192,38047.3,500,19783.0,4584,557.0,500,2912,7038.0
2033,27416,1860,424.6,7712.7,2192,38047.3,500,22744.6,4584,557.0,0,2912,7119.1
2034,26841,1860,424.6,7712.7,2192,37011.3,500,24958.6,4584,557.0,1000,2912,5931.2
2035,25663,1860,424.6,7712.7,2192,37634.8,500,29980.4,4584,557.0,500,2912,8495.6
2036,24485,1860,424.6,7712.7,2192,41721.0,500,31285.6,4584,557.0,1000,2912,8343.9
2037,21484,1860,424.6,8590.4,2192,41721.0,500,39577.6,4584,557.0,500,2912,13298.3
2038,19644,1860,424.6,8325.2,2192,42659.7,500,41405.7,4584,557.0,0,2912,15919.4
2039,17851,1860,424.6,7002.2,2192,51331.5,500,41405.7,4430,557.0,0,2912,15460.4
2040,17236,1860,424.6,7002.2,2192,51195.5,500,47200.4,4310,557.0,1000,2912,15486.2
2041,14138,1860,424.6,7002.2,2192,56168.1,500,47200.4,4200,557.0,1000,2912,15486.2
2042,12883,1860,424.6,7002.2,2192,61673.6,500,46765.4,4000,557.0,500,2912,20491.7
2043,12883,1860,424.6,7002.2,2192,53939.4,500,58435.4,4000,557.0,500,2912,22995.9
2044,12243,1860,424.6,7002.2,2192,57469.2,500,58435.4,4000,557.0,500,2912,23535.3
2045,12243,1860,424.6,7002.2,2192,56577.8,400,58435.4,4000,557.0,0,2912,20697.5
2046,11629,930,424.6,5997.2,2192,64447.9,300,58020.4,4000,557.0,500,2912,22937.9
2047,11015,0,424.6,5997.2,2192,67990.8,100,58020.4,3500,539.0,1000,2912,22343.0
2048,10401,0,424.6,5997.2,2192,66585.9,100,59160.1,3000,539.0,500,2912,28989.5
2049,9734,0,424.6,5997.2,2192,68715.8,0,64290.1,2500,539.0,500,2912,29710.8
2050,9067,0,424.6,5997.2,2192,74553.0,0,61403.4,2000,514.0,500,2912,26559.2
